timestamp,trade_id,market,symbol,timeframe,side,action,result,exit_reason,bars_held,entry_price,trigger_price,pnl,pnl_pct,fee,balance,ghost
2025-10-03T18:20:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T18:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,386,122430.55981,123410.00428848,0.0,-0.008,0.0,,True
2025-10-03T18:25:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T18:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,385,122412.76515,123392.06727120001,0.0,-0.008,0.0,,True
2025-10-03T18:35:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T18:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,87,122699.49880999999,121717.90281952,0.0,-0.008,0.0,,True
2025-10-03T18:45:00+00:00,BTCUSDT@5m-LONG-2025-10-03T18:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,290,122471.33038,121491.55973696,0.0,-0.008,0.0,,True
2025-10-03T18:50:00+00:00,BTCUSDT@5m-LONG-2025-10-03T18:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,289,122445.32258000001,121465.75999936,0.0,-0.008,0.0,,True
2025-10-03T19:30:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T19:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,372,122799.84899,123782.24778192,0.0,-0.008,0.0,,True
2025-10-03T19:50:00+00:00,BTCUSDT@5m-LONG-2025-10-03T19:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,72,122674.49131,121693.09537952,0.0,-0.008,0.0,,True
2025-10-03T20:00:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T20:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,366,122346.39291,123814.54962492,0.0,0.012,0.0,,True
2025-10-03T20:05:00+00:00,BTCUSDT@5m-LONG-2025-10-03T20:05:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,365,122152.33471,123618.16272652,0.0,0.012,0.0,,True
2025-10-03T20:10:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T20:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,364,122087.41524,123552.46422288001,0.0,0.012,0.0,,True
2025-10-03T20:20:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T20:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,362,122099.65911000001,123076.45638288,0.0,-0.008,0.0,,True
2025-10-03T20:25:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T20:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,361,122134.52936999999,123600.14372243999,0.0,0.012,0.0,,True
2025-10-03T20:35:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T20:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,359,122339.78705,123318.5053464,0.0,-0.008,0.0,,True
2025-10-03T20:40:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T20:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,62,122664.08819,121682.77548448,0.0,-0.008,0.0,,True
